🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
Unsloth: Your Flash Attention 2 installation seems to be broken. Using Xformers instead. No performance changes will be seen.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2026.4.6: Fast Qwen3_5 patching. Transformers: 5.5.0. vLLM: 0.19.1.
   \\   /|    NVIDIA GeForce RTX 5080 Laptop GPU. Num GPUs = 1. Max memory: 15.471 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth: QLoRA and full finetuning all not selected. Switching to 16bit LoRA.
2026-05-01 00:53:27.613 | INFO     | __main__:main:67 - Loading configuration from cfgs/preference_numbers/open_model_qwen3.5-4b-unsloth.py (variable: control_ft_job)...
2026-05-01 00:53:27.887 | INFO     | __main__:main:76 - Starting fine-tuning job...
2026-05-01 00:53:27.887 | INFO     | sl.finetuning.services:run_finetuning_job:184 - Starting fine-tuning job for open_source model: unsloth/Qwen3.5-4B
2026-05-01 00:53:27.888 | INFO     | sl.finetuning.services:run_finetuning_job:193 - Sampled 10000 rows from 25377 total rows
The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 723/723 [00:00<00:00, 781.59it/s]
Map: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:00<00:00, 10295.66 examples/s]
Unsloth: Tokenizing ["text"] (num_proc=1): 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 10000/10000 [00:02<00:00, 3792.74 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 248046}.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 456
O^O/ \_/ \    Batch size per device = 22 | Gradient accumulation steps = 3
\        /    Data Parallel GPUs = 1 | Total batch size (22 x 3 x 1) = 66
 "-____-"     Trainable parameters = 10,616,832 of 4,549,882,368 (0.23% trained){'loss': '1.957', 'grad_norm': '0.7223', 'learning_rate': '0', 'epoch': '0.006593'}
{'loss': '1.96', 'grad_norm': '0.7357', 'learning_rate': '4e-05', 'epoch': '0.01319'}
{'loss': '0.8412', 'grad_norm': '0.3767', 'learning_rate': '0.0001898', 'epoch': '0.1912'}
{'loss': '0.8396', 'grad_norm': '0.3508', 'learning_rate': '0.0001894', 'epoch': '0.1978'}
{'loss': '0.8518', 'grad_norm': '0.5496', 'learning_rate': '0.0001889', 'epoch': '0.2044'}
{'loss': '0.8309', 'grad_norm': '0.3564', 'learning_rate': '0.0001885', 'epoch': '0.211'}
{'loss': '0.8311', 'grad_norm': '0.3772', 'learning_rate': '0.000188', 'epoch': '0.2176'}
{'loss': '0.8067', 'grad_norm': '0.4302', 'learning_rate': '0.0001876', 'epoch': '0.2242'}
{'loss': '0.7988', 'grad_norm': '0.3498', 'learning_rate': '0.0001871', 'epoch': '0.2308'}
{'loss': '0.7696', 'grad_norm': '0.3815', 'learning_rate': '0.0001867', 'epoch': '0.2374'}
{'loss': '0.8281', 'grad_norm': '0.3185', 'learning_rate': '0.0001863', 'epoch': '0.244'}
{'loss': '0.7977', 'grad_norm': '0.3397', 'learning_rate': '0.0001858', 'epoch': '0.2505'}
{'loss': '0.7654', 'grad_norm': '0.3185', 'learning_rate': '0.0001854', 'epoch': '0.2571'}
{'loss': '0.7863', 'grad_norm': '0.3828', 'learning_rate': '0.0001849', 'epoch': '0.2637'}
{'loss': '0.7881', 'grad_norm': '0.369', 'learning_rate': '0.0001845', 'epoch': '0.2703'}
{'loss': '0.7549', 'grad_norm': '0.3309', 'learning_rate': '0.000184', 'epoch': '0.2769'}
{'loss': '0.7836', 'grad_norm': '0.3645', 'learning_rate': '0.0001836', 'epoch': '0.2835'}
{'loss': '0.7691', 'grad_norm': '0.2628', 'learning_rate': '0.0001831', 'epoch': '0.2901'}
{'loss': '0.7778', 'grad_norm': '0.2728', 'learning_rate': '0.0001827', 'epoch': '0.2967'}
{'loss': '0.7405', 'grad_norm': '0.2878', 'learning_rate': '0.0001823', 'epoch': '0.3033'}
{'loss': '0.706', 'grad_norm': '0.2142', 'learning_rate': '0.0001818', 'epoch': '0.3099'}
{'loss': '0.7859', 'grad_norm': '0.2453', 'learning_rate': '0.0001814', 'epoch': '0.3165'}
{'loss': '0.7283', 'grad_norm': '0.1935', 'learning_rate': '0.0001809', 'epoch': '0.3231'}
{'loss': '0.7973', 'grad_norm': '0.2513', 'learning_rate': '0.0001805', 'epoch': '0.3297'}
{'loss': '0.7938', 'grad_norm': '0.223', 'learning_rate': '0.00018', 'epoch': '0.3363'}
{'loss': '0.7313', 'grad_norm': '0.1709', 'learning_rate': '0.0001796', 'epoch': '0.3429'}
{'loss': '0.7508', 'grad_norm': '0.2901', 'learning_rate': '0.0001792', 'epoch': '0.3495'}
{'loss': '0.7338', 'grad_norm': '0.2239', 'learning_rate': '0.0001787', 'epoch': '0.356'}
{'loss': '0.7637', 'grad_norm': '0.2224', 'learning_rate': '0.0001783', 'epoch': '0.3626'}
{'loss': '0.7876', 'grad_norm': '0.2019', 'learning_rate': '0.0001778', 'epoch': '0.3692'}
{'loss': '0.7288', 'grad_norm': '0.1946', 'learning_rate': '0.0001774', 'epoch': '0.3758'}
{'loss': '0.7522', 'grad_norm': '0.1992', 'learning_rate': '0.0001769', 'epoch': '0.3824'}
{'loss': '0.7407', 'grad_norm': '0.2285', 'learning_rate': '0.0001765', 'epoch': '0.389'}
{'loss': '0.7475', 'grad_norm': '0.1967', 'learning_rate': '0.0001761', 'epoch': '0.3956'}
{'loss': '0.7822', 'grad_norm': '0.1764', 'learning_rate': '0.0001756', 'epoch': '0.4022'}
{'loss': '0.7575', 'grad_norm': '0.2102', 'learning_rate': '0.0001752', 'epoch': '0.4088'}
{'loss': '0.7196', 'grad_norm': '0.1994', 'learning_rate': '0.0001747', 'epoch': '0.4154'}
{'loss': '0.7164', 'grad_norm': '0.1588', 'learning_rate': '0.0001743', 'epoch': '0.422'}
{'loss': '0.7554', 'grad_norm': '0.1602', 'learning_rate': '0.0001738', 'epoch': '0.4286'}
{'loss': '0.7643', 'grad_norm': '0.1643', 'learning_rate': '0.0001734', 'epoch': '0.4352'}
{'loss': '0.7753', 'grad_norm': '0.1424', 'learning_rate': '0.0001729', 'epoch': '0.4418'}
{'loss': '0.7204', 'grad_norm': '0.1774', 'learning_rate': '0.0001725', 'epoch': '0.4484'}
{'loss': '0.7354', 'grad_norm': '0.1476', 'learning_rate': '0.0001721', 'epoch': '0.4549'}
{'loss': '0.7411', 'grad_norm': '0.177', 'learning_rate': '0.0001716', 'epoch': '0.4615'}
{'loss': '0.7603', 'grad_norm': '0.1629', 'learning_rate': '0.0001712', 'epoch': '0.4681'}
{'loss': '0.7025', 'grad_norm': '0.1608', 'learning_rate': '0.0001707', 'epoch': '0.4747'}
{'loss': '0.7734', 'grad_norm': '0.1396', 'learning_rate': '0.0001703', 'epoch': '0.4813'}
{'loss': '0.7555', 'grad_norm': '0.1609', 'learning_rate': '0.0001698', 'epoch': '0.4879'}
{'loss': '0.785', 'grad_norm': '0.17', 'learning_rate': '0.0001694', 'epoch': '0.4945'}
{'loss': '0.7498', 'grad_norm': '0.1462', 'learning_rate': '0.000169', 'epoch': '0.5011'}
{'loss': '0.7529', 'grad_norm': '0.158', 'learning_rate': '0.0001685', 'epoch': '0.5077'}
{'loss': '0.7537', 'grad_norm': '0.1814', 'learning_rate': '0.0001681', 'epoch': '0.5143'}
{'loss': '0.7734', 'grad_norm': '0.1383', 'learning_rate': '0.0001676', 'epoch': '0.5209'}
{'loss': '0.75', 'grad_norm': '0.146', 'learning_rate': '0.0001672', 'epoch': '0.5275'}
{'loss': '0.7582', 'grad_norm': '0.1261', 'learning_rate': '0.0001667', 'epoch': '0.5341'}
{'loss': '0.7087', 'grad_norm': '0.1355', 'learning_rate': '0.0001663', 'epoch': '0.5407'}
{'loss': '0.7775', 'grad_norm': '0.1629', 'learning_rate': '0.0001659', 'epoch': '0.5473'}
{'loss': '0.7648', 'grad_norm': '0.1582', 'learning_rate': '0.0001654', 'epoch': '0.5538'}
{'loss': '0.7539', 'grad_norm': '0.1608', 'learning_rate': '0.000165', 'epoch': '0.5604'}
{'loss': '0.7477', 'grad_norm': '0.149', 'learning_rate': '0.0001645', 'epoch': '0.567'}
{'loss': '0.7414', 'grad_norm': '0.1325', 'learning_rate': '0.0001641', 'epoch': '0.5736'}
{'loss': '0.7294', 'grad_norm': '0.1553', 'learning_rate': '0.0001636', 'epoch': '0.5802'}
{'loss': '0.7276', 'grad_norm': '0.1457', 'learning_rate': '0.0001632', 'epoch': '0.5868'}
{'loss': '0.7644', 'grad_norm': '0.131', 'learning_rate': '0.0001627', 'epoch': '0.5934'}
{'loss': '0.7603', 'grad_norm': '0.1352', 'learning_rate': '0.0001623', 'epoch': '0.6'}
{'loss': '0.737', 'grad_norm': '0.1421', 'learning_rate': '0.0001619', 'epoch': '0.6066'}
{'loss': '0.742', 'grad_norm': '0.142', 'learning_rate': '0.0001614', 'epoch': '0.6132'}
{'loss': '0.7436', 'grad_norm': '0.1216', 'learning_rate': '0.000161', 'epoch': '0.6198'}
{'loss': '0.7709', 'grad_norm': '0.1342', 'learning_rate': '0.0001605', 'epoch': '0.6264'}
{'loss': '0.7189', 'grad_norm': '0.143', 'learning_rate': '0.0001601', 'epoch': '0.633'}
{'loss': '0.7401', 'grad_norm': '0.1438', 'learning_rate': '0.0001596', 'epoch': '0.6396'}
{'loss': '0.7306', 'grad_norm': '0.1379', 'learning_rate': '0.0001592', 'epoch': '0.6462'}
{'loss': '0.7366', 'grad_norm': '0.1541', 'learning_rate': '0.0001588', 'epoch': '0.6527'}
{'loss': '0.7219', 'grad_norm': '0.1593', 'learning_rate': '0.0001583', 'epoch': '0.6593'}
{'loss': '0.7272', 'grad_norm': '0.1353', 'learning_rate': '0.0001579', 'epoch': '0.6659'}
{'loss': '0.7386', 'grad_norm': '0.1462', 'learning_rate': '0.0001574', 'epoch': '0.6725'}
{'loss': '0.7465', 'grad_norm': '0.1372', 'learning_rate': '0.000157', 'epoch': '0.6791'}
{'loss': '0.7632', 'grad_norm': '0.1297', 'learning_rate': '0.0001565', 'epoch': '0.6857'}
{'loss': '0.745', 'grad_norm': '0.1177', 'learning_rate': '0.0001561', 'epoch': '0.6923'}
{'loss': '0.7435', 'grad_norm': '0.1311', 'learning_rate': '0.0001557', 'epoch': '0.6989'}
{'loss': '0.7346', 'grad_norm': '0.1453', 'learning_rate': '0.0001552', 'epoch': '0.7055'}
{'loss': '0.7018', 'grad_norm': '0.1351', 'learning_rate': '0.0001548', 'epoch': '0.7121'}
{'loss': '0.7639', 'grad_norm': '0.1438', 'learning_rate': '0.0001543', 'epoch': '0.7187'}
{'loss': '0.7628', 'grad_norm': '0.1287', 'learning_rate': '0.0001539', 'epoch': '0.7253'}
{'loss': '0.7343', 'grad_norm': '0.1343', 'learning_rate': '0.0001534', 'epoch': '0.7319'}
{'loss': '0.7436', 'grad_norm': '0.131', 'learning_rate': '0.000153', 'epoch': '0.7385'}
{'loss': '0.7687', 'grad_norm': '0.1277', 'learning_rate': '0.0001525', 'epoch': '0.7451'}
{'loss': '0.7347', 'grad_norm': '0.1126', 'learning_rate': '0.0001521', 'epoch': '0.7516'}
{'loss': '0.7621', 'grad_norm': '0.1332', 'learning_rate': '0.0001517', 'epoch': '0.7582'}
{'loss': '0.7329', 'grad_norm': '0.1368', 'learning_rate': '0.0001512', 'epoch': '0.7648'}
{'loss': '0.7779', 'grad_norm': '0.1183', 'learning_rate': '0.0001508', 'epoch': '0.7714'}
{'loss': '0.7285', 'grad_norm': '0.1247', 'learning_rate': '0.0001503', 'epoch': '0.778'}
{'loss': '0.7495', 'grad_norm': '0.1214', 'learning_rate': '0.0001499', 'epoch': '0.7846'}
{'loss': '0.7329', 'grad_norm': '0.1388', 'learning_rate': '0.0001494', 'epoch': '0.7912'}
{'loss': '0.7646', 'grad_norm': '0.1292', 'learning_rate': '0.000149', 'epoch': '0.7978'}
{'loss': '0.7329', 'grad_norm': '0.122', 'learning_rate': '0.0001486', 'epoch': '0.8044'}
{'loss': '0.735', 'grad_norm': '0.1258', 'learning_rate': '0.0001481', 'epoch': '0.811'}
{'loss': '0.7605', 'grad_norm': '0.1239', 'learning_rate': '0.0001477', 'epoch': '0.8176'}
{'loss': '0.7643', 'grad_norm': '0.1167', 'learning_rate': '0.0001472', 'epoch': '0.8242'}
{'loss': '0.7548', 'grad_norm': '0.1243', 'learning_rate': '0.0001468', 'epoch': '0.8308'}
{'loss': '0.7575', 'grad_norm': '0.1242', 'learning_rate': '0.0001463', 'epoch': '0.8374'}
{'loss': '0.7467', 'grad_norm': '0.1199', 'learning_rate': '0.0001459', 'epoch': '0.844'}
{'loss': '0.739', 'grad_norm': '0.1328', 'learning_rate': '0.0001455', 'epoch': '0.8505'}
{'loss': '0.7169', 'grad_norm': '0.129', 'learning_rate': '0.000145', 'epoch': '0.8571'}
{'loss': '0.7353', 'grad_norm': '0.1263', 'learning_rate': '0.0001446', 'epoch': '0.8637'}
{'loss': '0.7207', 'grad_norm': '0.1168', 'learning_rate': '0.0001441', 'epoch': '0.8703'}
{'loss': '0.7578', 'grad_norm': '0.1157', 'learning_rate': '0.0001437', 'epoch': '0.8769'}
{'loss': '0.7339', 'grad_norm': '0.126', 'learning_rate': '0.0001432', 'epoch': '0.8835'}
{'loss': '0.7633', 'grad_norm': '0.1222', 'learning_rate': '0.0001428', 'epoch': '0.8901'}
{'loss': '0.7355', 'grad_norm': '0.1154', 'learning_rate': '0.0001424', 'epoch': '0.8967'}
{'loss': '0.7543', 'grad_norm': '0.1041', 'learning_rate': '0.0001419', 'epoch': '0.9033'}
{'loss': '0.716', 'grad_norm': '0.1148', 'learning_rate': '0.0001415', 'epoch': '0.9099'}
{'loss': '0.7732', 'grad_norm': '0.1101', 'learning_rate': '0.000141', 'epoch': '0.9165'}
{'loss': '0.733', 'grad_norm': '0.1275', 'learning_rate': '0.0001406', 'epoch': '0.9231'}
{'loss': '0.7745', 'grad_norm': '0.1216', 'learning_rate': '0.0001401', 'epoch': '0.9297'}
{'loss': '0.7101', 'grad_norm': '0.1117', 'learning_rate': '0.0001397', 'epoch': '0.9363'}
{'loss': '0.7657', 'grad_norm': '0.1192', 'learning_rate': '0.0001392', 'epoch': '0.9429'}
{'loss': '0.7451', 'grad_norm': '0.1221', 'learning_rate': '0.0001388', 'epoch': '0.9495'}
{'loss': '0.7154', 'grad_norm': '0.1355', 'learning_rate': '0.0001384', 'epoch': '0.956'}
{'loss': '0.7668', 'grad_norm': '0.1246', 'learning_rate': '0.0001379', 'epoch': '0.9626'}
{'loss': '0.7501', 'grad_norm': '0.1029', 'learning_rate': '0.0001375', 'epoch': '0.9692'}
{'loss': '0.7587', 'grad_norm': '0.1083', 'learning_rate': '0.000137', 'epoch': '0.9758'}
{'loss': '0.7661', 'grad_norm': '0.1482', 'learning_rate': '0.0001366', 'epoch': '0.9824'}
{'loss': '0.7251', 'grad_norm': '0.1188', 'learning_rate': '0.0001361', 'epoch': '0.989'}
{'loss': '0.7124', 'grad_norm': '0.1031', 'learning_rate': '0.0001357', 'epoch': '0.9956'}
{'loss': '0.7356', 'grad_norm': '0.1566', 'learning_rate': '0.0001353', 'epoch': '1'}
{'loss': '0.7379', 'grad_norm': '0.1266', 'learning_rate': '0.0001348', 'epoch': '1.007'}
{'loss': '0.744', 'grad_norm': '0.1199', 'learning_rate': '0.0001344', 'epoch': '1.013'}
{'loss': '0.7007', 'grad_norm': '0.1037', 'learning_rate': '0.0001339', 'epoch': '1.02'}
{'loss': '0.7512', 'grad_norm': '0.1159', 'learning_rate': '0.0001335', 'epoch': '1.026'}
{'loss': '0.735', 'grad_norm': '0.1126', 'learning_rate': '0.000133', 'epoch': '1.033'}
{'loss': '0.7358', 'grad_norm': '0.1215', 'learning_rate': '0.0001326', 'epoch': '1.04'}
{'loss': '0.768', 'grad_norm': '0.1104', 'learning_rate': '0.0001322', 'epoch': '1.046'}
{'loss': '0.7512', 'grad_norm': '0.1044', 'learning_rate': '0.0001317', 'epoch': '1.053'}
{'loss': '0.7461', 'grad_norm': '0.1128', 'learning_rate': '0.0001313', 'epoch': '1.059'}
{'loss': '0.7452', 'grad_norm': '0.1187', 'learning_rate': '0.0001308', 'epoch': '1.066'}
{'loss': '0.7328', 'grad_norm': '0.1221', 'learning_rate': '0.0001304', 'epoch': '1.073'}
{'loss': '0.7212', 'grad_norm': '0.1272', 'learning_rate': '0.0001299', 'epoch': '1.079'}
{'loss': '0.7123', 'grad_norm': '0.1199', 'learning_rate': '0.0001295', 'epoch': '1.086'}
{'loss': '0.7182', 'grad_norm': '0.08785', 'learning_rate': '0.000129', 'epoch': '1.092'}
{'loss': '0.7488', 'grad_norm': '0.1246', 'learning_rate': '0.0001286', 'epoch': '1.099'}
{'loss': '0.7348', 'grad_norm': '0.107', 'learning_rate': '0.0001282', 'epoch': '1.105'}
{'loss': '0.7433', 'grad_norm': '0.1172', 'learning_rate': '0.0001277', 'epoch': '1.112'}
{'loss': '0.7385', 'grad_norm': '0.1087', 'learning_rate': '0.0001273', 'epoch': '1.119'}
{'loss': '0.7901', 'grad_norm': '0.1134', 'learning_rate': '0.0001268', 'epoch': '1.125'}
{'loss': '0.724', 'grad_norm': '0.1187', 'learning_rate': '0.0001264', 'epoch': '1.132'}
{'loss': '0.7416', 'grad_norm': '0.1045', 'learning_rate': '0.0001259', 'epoch': '1.138'}
{'loss': '0.7545', 'grad_norm': '0.1049', 'learning_rate': '0.0001255', 'epoch': '1.145'}
{'loss': '0.7708', 'grad_norm': '0.1085', 'learning_rate': '0.0001251', 'epoch': '1.152'}
{'loss': '0.7492', 'grad_norm': '0.1135', 'learning_rate': '0.0001246', 'epoch': '1.158'}
{'loss': '0.7568', 'grad_norm': '0.1162', 'learning_rate': '0.0001242', 'epoch': '1.165'}
{'loss': '0.7754', 'grad_norm': '0.1169', 'learning_rate': '0.0001237', 'epoch': '1.171'}
{'loss': '0.7364', 'grad_norm': '0.1144', 'learning_rate': '0.0001233', 'epoch': '1.178'}
{'loss': '0.7312', 'grad_norm': '0.1103', 'learning_rate': '0.0001228', 'epoch': '1.185'}
{'loss': '0.7737', 'grad_norm': '0.1031', 'learning_rate': '0.0001224', 'epoch': '1.191'}
{'loss': '0.7303', 'grad_norm': '0.1116', 'learning_rate': '0.000122', 'epoch': '1.198'}
{'loss': '0.7102', 'grad_norm': '0.104', 'learning_rate': '0.0001215', 'epoch': '1.204'}
{'loss': '0.7424', 'grad_norm': '0.1172', 'learning_rate': '0.0001211', 'epoch': '1.211'}
{'loss': '0.754', 'grad_norm': '0.1096', 'learning_rate': '0.0001206', 'epoch': '1.218'}
{'loss': '0.7611', 'grad_norm': '0.1129', 'learning_rate': '0.0001202', 'epoch': '1.224'}
{'loss': '0.737', 'grad_norm': '0.1109', 'learning_rate': '0.0001197', 'epoch': '1.231'}
{'loss': '0.739', 'grad_norm': '0.108', 'learning_rate': '0.0001193', 'epoch': '1.237'}
{'loss': '0.7311', 'grad_norm': '0.1019', 'learning_rate': '0.0001188', 'epoch': '1.244'}
{'loss': '0.722', 'grad_norm': '0.112', 'learning_rate': '0.0001184', 'epoch': '1.251'}
{'loss': '0.7596', 'grad_norm': '0.1252', 'learning_rate': '0.000118', 'epoch': '1.257'}
{'loss': '0.732', 'grad_norm': '0.117', 'learning_rate': '0.0001175', 'epoch': '1.264'}
{'loss': '0.6945', 'grad_norm': '0.1144', 'learning_rate': '0.0001171', 'epoch': '1.27'}
{'loss': '0.7512', 'grad_norm': '0.1112', 'learning_rate': '0.0001166', 'epoch': '1.277'}
{'loss': '0.6943', 'grad_norm': '0.1053', 'learning_rate': '0.0001162', 'epoch': '1.284'}
{'loss': '0.7277', 'grad_norm': '0.1186', 'learning_rate': '0.0001157', 'epoch': '1.29'}
{'loss': '0.7082', 'grad_norm': '0.1057', 'learning_rate': '0.0001153', 'epoch': '1.297'}
{'loss': '0.7221', 'grad_norm': '0.1105', 'learning_rate': '0.0001149', 'epoch': '1.303'}
{'loss': '0.7697', 'grad_norm': '0.1077', 'learning_rate': '0.0001144', 'epoch': '1.31'}
{'loss': '0.7561', 'grad_norm': '0.1115', 'learning_rate': '0.000114', 'epoch': '1.316'}
{'loss': '0.7294', 'grad_norm': '0.1366', 'learning_rate': '0.0001135', 'epoch': '1.323'}
{'loss': '0.7401', 'grad_norm': '0.1071', 'learning_rate': '0.0001131', 'epoch': '1.33'}
{'loss': '0.721', 'grad_norm': '0.1011', 'learning_rate': '0.0001126', 'epoch': '1.336'}
{'loss': '0.7457', 'grad_norm': '0.1182', 'learning_rate': '0.0001122', 'epoch': '1.343'}
{'loss': '0.7435', 'grad_norm': '0.1067', 'learning_rate': '0.0001118', 'epoch': '1.349'}
{'loss': '0.7159', 'grad_norm': '0.1088', 'learning_rate': '0.0001113', 'epoch': '1.356'}
{'loss': '0.752', 'grad_norm': '0.1117', 'learning_rate': '0.0001109', 'epoch': '1.363'}
{'loss': '0.7283', 'grad_norm': '0.1159', 'learning_rate': '0.0001104', 'epoch': '1.369'}
{'loss': '0.73', 'grad_norm': '0.1212', 'learning_rate': '0.00011', 'epoch': '1.376'}
{'loss': '0.7427', 'grad_norm': '0.1032', 'learning_rate': '0.0001095', 'epoch': '1.382'}
{'loss': '0.7229', 'grad_norm': '0.09995', 'learning_rate': '0.0001091', 'epoch': '1.389'}
{'loss': '0.7337', 'grad_norm': '0.1128', 'learning_rate': '0.0001086', 'epoch': '1.396'}
{'loss': '0.7326', 'grad_norm': '0.1078', 'learning_rate': '0.0001082', 'epoch': '1.402'}
